Order Reference,Placed On,Customer Name,Status,Currency,Item Name,Qty,Total Amount,GST,Sales Channel,Notes
WB-106978,2026-03-09T16:13:58Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,28853.96,2200.73,Mobile app,Web order - Copper water bottle
WB-107075,2026-03-09T18:55:40Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,69825.00,5325.64,Phone order,Web order - Mixer jar spare
WB-107177,2026-03-09T12:13:37Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,64367.32,4909.37,Web,Web order - Steel tiffin carrier
WB-107315,2026-03-09T19:51:22Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,42165.66,3216.02,Web,Web order - Coir door mat
WB-107845,2026-03-09T19:55:00Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,50130.00,3823.47,Web,Web order - Steel tiffin carrier
WB-107867,2026-03-09T12:34:28Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,75890.65,5788.27,Phone order,Web order - Steel tiffin carrier
WB-108017,2026-03-09T11:27:01Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,68776.23,5245.64,Mobile app,Web order - Copper water bottle
WB-108024,2026-03-09T12:06:26Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,10367.00,790.70,Phone order,Web order - Coir door mat
WB-108066,2026-03-09T18:41:40Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,52788.00,4026.20,Mobile app,Web order - Rubber foot mat
WB-108068,2026-03-09T13:10:26Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,40499.00,3088.91,Web,Web order - Mixer jar spare
WB-108424,2026-03-09T15:32:42Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,62232.66,4746.56,Web,Web order - Steel tiffin carrier
WB-108765,2026-03-09T14:47:46Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,47750.00,3641.95,Phone order,Web order - Mixer jar spare
WB-109064,2026-03-09T18:21:13Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,59594.81,4545.37,Phone order,Web order - Steel tiffin carrier
WB-109312,2026-03-09T14:21:13Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,65515.00,4996.91,Web,Web order - Mixer jar spare
WB-109723,2026-03-09T13:50:40Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,25302.00,1929.81,Marketplace,Web order - Trolley bag 24 inch
WB-109841,2026-03-09T18:16:31Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,2396.74,182.80,Marketplace,Web order - Rubber foot mat
WB-104114,2026-03-10T11:28:04Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,38239.32,2916.56,Mobile app,Web order - Copper water bottle
WB-104160,2026-03-10T17:13:20Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,78540.00,5990.34,Marketplace,Web order - Rubber foot mat
WB-104349,2026-03-10T20:00:03Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,84942.09,6478.63,Phone order,Web order - Mixer jar spare
WB-104468,2026-03-10T14:58:33Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,34858.00,2658.66,Web,Web order - Mixer jar spare
WB-104474,2026-03-10T16:21:32Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,38776.58,2957.54,Phone order,Web order - Coir door mat
WB-104520,2026-03-10T16:24:47Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,30540.22,2329.34,Web,Web order - Mixer jar spare
WB-105007,2026-03-10T17:33:07Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,76865.61,5862.63,Web,Web order - Steel tiffin carrier
WB-105017,2026-03-10T18:30:53Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,5074.00,387.00,Web,Web order - Steel tiffin carrier
WB-105051,2026-03-10T13:17:17Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,39244.11,2993.19,Mobile app,Web order - Trolley bag 24 inch
WB-105112,2026-03-10T18:34:09Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,89642.09,6837.11,Mobile app,Web order - Rubber foot mat
WB-105438,2026-03-10T19:29:06Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,56702.00,4324.73,Marketplace,Web order - Rubber foot mat
WB-105822,2026-03-10T19:15:06Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,11819.00,901.45,Web,Web order - Coir door mat
WB-106005,2026-03-10T16:17:57Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,53089.11,4049.17,Web,Web order - Coir door mat
WB-106092,2026-03-10T09:07:53Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,35764.00,2727.76,Mobile app,Web order - Trolley bag 24 inch
WB-106949,2026-03-10T20:04:40Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,75216.00,5736.81,Web,Web order - Mixer jar spare
WB-107306,2026-03-10T08:14:41Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,87744.04,6692.34,Phone order,Web order - Steel tiffin carrier
WB-107357,2026-03-10T19:29:26Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,14168.58,1080.65,Phone order,Web order - Steel tiffin carrier
WB-107475,2026-03-10T09:55:21Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,34530.05,2633.65,Marketplace,Web order - Rubber foot mat
WB-107576,2026-03-10T16:16:11Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,65334.93,4983.17,Mobile app,Web order - Copper water bottle
WB-107607,2026-03-10T19:20:26Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,40625.00,3098.52,Mobile app,Web order - Rubber foot mat
WB-107621,2026-03-10T09:18:42Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,82986.66,6329.49,Marketplace,Web order - Copper water bottle
WB-107697,2026-03-10T12:30:30Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,31344.32,2390.67,Marketplace,Web order - Trolley bag 24 inch
WB-107950,2026-03-10T18:22:57Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,4597.12,350.63,Phone order,Web order - Coir door mat
WB-108100,2026-03-10T19:49:13Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,63436.00,4838.34,Phone order,Web order - Coir door mat
WB-108257,2026-03-10T08:20:46Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,455.00,34.70,Marketplace,Web order - Trolley bag 24 inch
WB-108440,2026-03-10T15:03:13Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,10390.00,792.46,Web,Web order - Coir door mat
WB-108527,2026-03-10T08:35:32Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,51765.36,3948.21,Mobile app,Web order - Rubber foot mat
WB-108576,2026-03-10T10:35:33Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,22843.00,1742.26,Web,Web order - Steel tiffin carrier
WB-108698,2026-03-10T11:56:26Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,10124.00,772.17,Phone order,Web order - Mixer jar spare
WB-108797,2026-03-10T19:16:13Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,75397.00,5750.62,Phone order,Web order - Coir door mat
WB-108941,2026-03-10T11:50:20Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,35988.00,2744.85,Marketplace,Web order - Trolley bag 24 inch
WB-109059,2026-03-10T16:01:46Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,29804.00,2273.19,Web,Web order - Mixer jar spare
WB-109070,2026-03-10T14:18:20Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,41046.00,3130.63,Mobile app,Web order - Copper water bottle
WB-109138,2026-03-10T17:09:40Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,83586.00,6375.20,Marketplace,Web order - Trolley bag 24 inch
WB-109226,2026-03-10T08:25:09Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,35976.87,2744.00,Phone order,Web order - Steel tiffin carrier
WB-109353,2026-03-10T19:00:40Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,56550.00,4313.14,Phone order,Web order - Mixer jar spare
WB-109423,2026-03-10T18:27:20Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,55516.20,4234.29,Marketplace,Web order - Copper water bottle
WB-109619,2026-03-10T15:01:05Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,75394.96,5750.46,Marketplace,Web order - Copper water bottle
WB-109978,2026-03-10T20:50:00Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,87390.00,6665.34,Mobile app,Web order - Trolley bag 24 inch
WB-104097,2026-03-11T13:03:33Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,10702.00,816.25,Marketplace,Web order - Trolley bag 24 inch
WB-104147,2026-03-11T14:41:40Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,65424.00,4989.97,Web,Web order - Steel tiffin carrier
WB-104157,2026-03-11T20:58:13Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,28462.00,2170.83,Web,Web order - Coir door mat
WB-104311,2026-03-11T11:02:32Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,31106.76,2372.55,Mobile app,Web order - Rubber foot mat
WB-104538,2026-03-11T12:06:06Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,61090.40,4659.44,Marketplace,Web order - Trolley bag 24 inch
WB-104792,2026-03-11T13:13:00Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,48861.00,3726.69,Phone order,Web order - Mixer jar spare
WB-104844,2026-03-11T09:10:46Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,88898.00,6780.36,Mobile app,Web order - Copper water bottle
WB-104928,2026-03-11T15:56:46Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,75020.00,5721.86,Marketplace,Web order - Copper water bottle
WB-104976,2026-03-11T10:39:30Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,54612.91,4165.39,Marketplace,Web order - Rubber foot mat
WB-104996,2026-03-11T13:06:46Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,66839.00,5097.89,Marketplace,Web order - Copper water bottle
WB-105043,2026-03-11T11:47:26Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,13976.00,1065.97,Marketplace,Web order - Trolley bag 24 inch
WB-105046,2026-03-11T12:41:20Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,56454.00,4305.81,Mobile app,Web order - Rubber foot mat
WB-105103,2026-03-11T14:35:53Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,77911.00,5942.36,Phone order,Web order - Mixer jar spare
WB-105345,2026-03-11T17:13:40Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,62706.00,4782.66,Mobile app,Web order - Trolley bag 24 inch
WB-105354,2026-03-11T13:32:02Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,71881.27,5482.47,Web,Web order - Coir door mat
WB-105550,2026-03-11T18:56:44Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,6528.14,497.91,Web,Web order - Mixer jar spare
WB-105734,2026-03-11T08:29:06Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,10744.39,819.49,Mobile app,Web order - Trolley bag 24 inch
WB-106999,2026-03-11T17:53:10Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,49107.90,3745.52,Web,Web order - Steel tiffin carrier
WB-107329,2026-03-11T09:40:36Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,75439.10,5753.83,Marketplace,Web order - Rubber foot mat
WB-107381,2026-03-11T18:22:57Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,13769.92,1050.25,Web,Web order - Coir door mat
WB-107469,2026-03-11T11:23:00Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,85725.00,6538.35,Phone order,Web order - Mixer jar spare
WB-107529,2026-03-11T17:26:13Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,14800.00,1128.81,Phone order,Web order - Steel tiffin carrier
WB-107779,2026-03-11T18:47:06Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,50893.39,3881.70,Phone order,Web order - Steel tiffin carrier
WB-108039,2026-03-11T08:32:20Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,30354.00,2315.14,Marketplace,Web order - Copper water bottle
WB-108043,2026-03-11T08:45:56Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,33319.70,2541.33,Mobile app,Web order - Rubber foot mat
WB-108163,2026-03-11T16:02:50Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,70356.32,5366.16,Mobile app,Web order - Rubber foot mat
WB-108324,2026-03-11T17:13:16Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,50600.30,3859.34,Phone order,Web order - Coir door mat
WB-108422,2026-03-11T13:56:26Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,14453.00,1102.35,Web,Web order - Mixer jar spare
WB-108545,2026-03-11T16:10:26Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,13121.00,1000.75,Mobile app,Web order - Trolley bag 24 inch
WB-108558,2026-03-11T14:21:33Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,11843.19,903.29,Mobile app,Web order - Copper water bottle
WB-108775,2026-03-11T18:24:06Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,52778.00,4025.44,Phone order,Web order - Coir door mat
WB-108901,2026-03-11T11:23:40Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,22116.00,1686.81,Marketplace,Web order - Copper water bottle
WB-108947,2026-03-11T18:04:40Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,34032.00,2595.66,Web,Web order - Mixer jar spare
WB-109105,2026-03-11T11:36:20Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,76281.00,5818.04,Phone order,Web order - Coir door mat
WB-109113,2026-03-11T12:58:53Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,31566.39,2407.61,Mobile app,Web order - Copper water bottle
WB-109309,2026-03-11T16:08:37Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,38213.33,2914.58,Phone order,Web order - Steel tiffin carrier
WB-109389,2026-03-11T20:11:10Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,58836.90,4487.56,Phone order,Web order - Steel tiffin carrier
WB-109408,2026-03-11T11:47:26Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,81134.00,6188.19,Web,Web order - Steel tiffin carrier
WB-109873,2026-03-11T12:41:20Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,49902.00,3806.08,Marketplace,Web order - Rubber foot mat
WB-104008,2026-03-12T15:19:06Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,86621.58,6606.73,Phone order,Web order - Coir door mat
WB-104264,2026-03-12T13:43:46Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,13523.00,1031.42,Marketplace,Web order - Rubber foot mat
WB-104324,2026-03-12T09:21:13Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,86926.00,6629.95,Web,Web order - Coir door mat
WB-104392,2026-03-12T09:07:33Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,89272.00,6808.88,Mobile app,Web order - Copper water bottle
WB-104555,2026-03-12T17:29:46Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,21524.00,1641.66,Web,Web order - Steel tiffin carrier
WB-104574,2026-03-12T13:43:26Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,36728.00,2801.29,Mobile app,Web order - Rubber foot mat
WB-104692,2026-03-12T11:30:33Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,78940.00,6020.85,Marketplace,Web order - Copper water bottle
WB-104708,2026-03-12T08:42:02Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,42921.06,3273.64,Marketplace,Web order - Trolley bag 24 inch
WB-104711,2026-03-12T12:42:44Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,7626.13,581.65,Mobile app,Web order - Trolley bag 24 inch
WB-104815,2026-03-12T10:35:12Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,45228.98,3449.67,Marketplace,Web order - Copper water bottle
WB-104826,2026-03-12T10:55:20Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,76533.00,5837.26,Web,Web order - Mixer jar spare
WB-104941,2026-03-12T13:21:11Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,57488.75,4384.74,Phone order,Web order - Steel tiffin carrier
WB-105026,2026-03-12T11:06:29Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,84334.48,6432.29,Mobile app,Web order - Copper water bottle
WB-105069,2026-03-12T16:12:33Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,44758.00,3413.75,Web,Web order - Coir door mat
WB-105088,2026-03-12T17:29:06Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,65477.00,4994.01,Marketplace,Web order - Copper water bottle
WB-105184,2026-03-12T16:55:40Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,4890.00,372.97,Mobile app,Web order - Copper water bottle
WB-105247,2026-03-12T16:10:46Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,87377.00,6664.35,Mobile app,Web order - Trolley bag 24 inch
WB-105252,2026-03-12T16:34:48Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,90336.26,6890.05,Phone order,Web order - Steel tiffin carrier
WB-105476,2026-03-12T15:00:00Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,69732.00,5318.54,Mobile app,Web order - Rubber foot mat
WB-105494,2026-03-12T11:13:40Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,20235.00,1543.35,Phone order,Web order - Coir door mat
WB-105825,2026-03-12T19:23:20Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,73284.00,5589.46,Web,Web order - Coir door mat
WB-106078,2026-03-12T18:41:00Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,31221.00,2381.26,Marketplace,Web order - Rubber foot mat
WB-106316,2026-03-12T12:29:06Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,45119.00,3441.28,Phone order,Web order - Steel tiffin carrier
WB-106428,2026-03-12T20:37:42Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,21088.28,1608.43,Mobile app,Web order - Trolley bag 24 inch
WB-106469,2026-03-12T10:43:26Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,36260.00,2765.59,Web,Web order - Steel tiffin carrier
WB-106483,2026-03-12T09:00:03Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,44226.10,3373.18,Marketplace,Web order - Rubber foot mat
WB-106782,2026-03-12T17:12:33Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,12887.19,982.92,Mobile app,Web order - Trolley bag 24 inch
WB-106794,2026-03-12T20:21:13Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,40009.00,3051.53,Marketplace,Web order - Trolley bag 24 inch
WB-107564,2026-03-12T10:38:06Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,18101.00,1380.58,Mobile app,Web order - Rubber foot mat
WB-107795,2026-03-12T14:20:09Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,91137.87,6951.19,Marketplace,Web order - Trolley bag 24 inch
WB-107835,2026-03-12T13:46:40Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,90408.00,6895.53,Phone order,Web order - Mixer jar spare
WB-107894,2026-03-12T15:16:53Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,52270.00,3986.69,Web,Web order - Steel tiffin carrier
WB-107899,2026-03-12T15:12:32Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,88492.58,6749.43,Phone order,Web order - Mixer jar spare
WB-108242,2026-03-12T10:08:16Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,78898.08,6017.65,Web,Web order - Mixer jar spare
WB-108271,2026-03-12T14:57:28Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,51471.86,3925.82,Phone order,Web order - Mixer jar spare
WB-108675,2026-03-12T17:03:13Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,69592.00,5307.86,Web,Web order - Coir door mat
WB-109057,2026-03-12T19:41:39Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,39262.78,2994.62,Phone order,Web order - Coir door mat
WB-109364,2026-03-12T14:13:38Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,76231.15,5814.24,Web,Web order - Mixer jar spare
WB-109562,2026-03-12T10:21:33Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,12358.00,942.56,Phone order,Web order - Mixer jar spare
WB-104177,2026-03-13T13:00:00Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,58851.00,4488.64,Marketplace,Web order - Rubber foot mat
WB-104221,2026-03-13T10:46:20Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,59910.00,4569.41,Marketplace,Web order - Copper water bottle
WB-104347,2026-03-13T17:49:32Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,2486.78,189.67,Web,Web order - Mixer jar spare
WB-104435,2026-03-13T10:38:26Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,85805.00,6544.45,Web,Web order - Steel tiffin carrier
WB-104580,2026-03-13T12:59:37Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,2612.93,199.29,Web,Web order - Mixer jar spare
WB-104614,2026-03-13T16:50:58Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,50066.95,3818.67,Phone order,Web order - Mixer jar spare
WB-104641,2026-03-13T12:49:53Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,75877.00,5787.23,Phone order,Web order - Steel tiffin carrier
WB-105203,2026-03-13T08:52:26Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,28897.98,2204.08,Mobile app,Web order - Rubber foot mat
WB-105423,2026-03-13T19:52:25Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,38328.16,2923.33,Phone order,Web order - Steel tiffin carrier
WB-105839,2026-03-13T11:24:46Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,42287.00,3225.28,Phone order,Web order - Steel tiffin carrier
WB-105853,2026-03-13T18:13:20Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,74679.00,5695.86,Mobile app,Web order - Rubber foot mat
WB-105880,2026-03-13T12:44:13Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,55370.19,4223.15,Mobile app,Web order - Trolley bag 24 inch
WB-106274,2026-03-13T15:45:56Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,71438.28,5448.68,Marketplace,Web order - Copper water bottle
WB-106279,2026-03-13T16:50:00Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,7479.00,570.43,Phone order,Web order - Mixer jar spare
WB-106298,2026-03-13T19:10:23Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,65841.11,5021.78,Marketplace,Web order - Trolley bag 24 inch
WB-106402,2026-03-13T18:53:13Z,Barkat Stationers Private Limited,PAID,INR,Office paper quarterly supply,1,22900.00,1746.61,Web,Office paper quarterly supply
WB-106536,2026-03-13T19:43:46Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,56813.00,4333.19,Web,Web order - Mixer jar spare
WB-107132,2026-03-13T15:36:20Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,65283.00,4979.21,Phone order,Web order - Mixer jar spare
WB-107208,2026-03-13T10:41:20Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,80790.00,6161.95,Phone order,Web order - Coir door mat
WB-107305,2026-03-13T17:06:26Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,47924.00,3655.22,Phone order,Web order - Coir door mat
WB-107702,2026-03-13T15:50:40Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,86961.00,6632.62,Mobile app,Web order - Trolley bag 24 inch
WB-107817,2026-03-13T19:35:53Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,54862.00,4184.39,Web,Web order - Coir door mat
WB-107836,2026-03-13T09:40:33Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,33904.00,2585.90,Web,Web order - Steel tiffin carrier
WB-107881,2026-03-13T12:39:49Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,91101.29,6948.40,Mobile app,Web order - Copper water bottle
WB-108276,2026-03-13T17:16:33Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,54415.00,4150.30,Web,Web order - Steel tiffin carrier
WB-108337,2026-03-13T12:04:38Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,36442.16,2779.49,Web,Web order - Steel tiffin carrier
WB-108605,2026-03-13T13:10:06Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,54695.00,4171.65,Marketplace,Web order - Copper water bottle
WB-108716,2026-03-13T14:07:13Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,20632.00,1573.63,Marketplace,Web order - Rubber foot mat
WB-108852,2026-03-13T20:21:33Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,20080.00,1531.53,Web,Web order - Coir door mat
WB-108856,2026-03-13T16:19:45Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,30617.57,2335.24,Marketplace,Web order - Trolley bag 24 inch
WB-108961,2026-03-13T15:34:51Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,831.33,63.41,Marketplace,Web order - Trolley bag 24 inch
