Bill No,Bill Date,Store Code,Terminal Id,Customer Name,Item Name,Qty,Payment Mode,Bill Amount,Tax,Remarks
POS-304144,09/03/2026,PNQ-01,TID4365,Naaz Fabrics Private Limited,Mop and bucket,2,NETBANKING,"15,159.24","1,156.21",Counter bill Mop and bucket
POS-304235,09/03/2026,PNQ-01,TID4104,Sitara Packaging Solutions Pvt Ltd,Electrical wire roll,1,UPI,"7,029.00",536.11,Counter bill Electrical wire roll
POS-304428,09/03/2026,BLR-01,TID4587,Sanchit Hardware Depot Pvt Ltd,Measuring tape 5m,3,WALLET,"35,610.00","2,716.02",Counter bill Measuring tape 5m
POS-304527,09/03/2026,PNQ-01,TID4882,Suvarna Weaves LLP,Sports kit,2,NETBANKING,"31,379.00","2,393.31",Counter bill Sports kit
POS-305339,09/03/2026,BLR-02,TID4891,Sohrab Auto Spares LLP,Grocery basket,4,UPI,"25,141.14","1,917.54",Counter bill Grocery basket
POS-305534,09/03/2026,MYS-01,TID4159,Vindhya Plastics Private Limited,Hardware fittings,2,UPI,"1,117.50",85.23,Counter bill Hardware fittings
POS-305877,09/03/2026,BLR-01,TID4072,Madhuban Nurseries Pvt Ltd,Cable tie pack,3,WALLET,"19,410.00","1,480.42",Counter bill Cable tie pack
POS-300103,10/03/2026,MYS-01,TID4535,Barkat Stationers Private Limited,Storage crate,4,NETBANKING,"41,547.00","3,168.84",Counter bill Storage crate
POS-300592,10/03/2026,BLR-01,TID4365,Tarangini Prints LLP,Mop and bucket,2,CARD,"34,060.18","2,597.81",Counter bill Mop and bucket
POS-300615,10/03/2026,HYD-01,TID4206,Kalanjali Crafts Pvt Ltd,Paint tin 4L,3,CARD,"1,448.00",110.44,Counter bill Paint tin 4L
POS-301111,10/03/2026,HYD-01,TID4636,Ranjeet Timber Depot Pvt Ltd,Electrical wire roll,1,WALLET,"29,658.86","2,262.12",Counter bill Electrical wire roll
POS-301116,10/03/2026,MYS-01,TID4547,Meghdoot Packaging LLP,Measuring tape 5m,3,CARD,"47,932.00","3,655.83",Counter bill Measuring tape 5m
POS-301641,10/03/2026,BLR-01,TID4696,Naaz Fabrics Private Limited,Garden tool set,2,NETBANKING,"42,675.00","3,254.87",Counter bill Garden tool set
POS-301900,10/03/2026,MYS-01,TID4855,Ambar Cold Rooms Pvt Ltd,Bulb pack of six,1,NETBANKING,"12,287.34",937.17,Counter bill Bulb pack of six
POS-301927,10/03/2026,BLR-01,TID4452,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,WALLET,"28,370.38","2,163.84",Counter bill Stationery pack
POS-302151,10/03/2026,BLR-01,TID4893,Yamini Home Needs Pvt Ltd,Bedding roll,1,NETBANKING,"31,455.49","2,399.15",Counter bill Bedding roll
POS-302233,10/03/2026,BLR-02,TID4639,Utsav Bakers LLP,Plumbing fittings,4,CARD,"35,976.00","2,743.93",Counter bill Plumbing fittings
POS-302236,10/03/2026,BLR-02,TID4686,Bhoomi Tiles and Sanitary LLP,Crockery half set,4,WALLET,"11,106.00",847.07,Counter bill Crockery half set
POS-302295,10/03/2026,HYD-01,TID4569,Palashwood Interiors Pvt Ltd,Adhesive carton,1,CARD,"41,788.22","3,187.24",Counter bill Adhesive carton
POS-302525,10/03/2026,BLR-02,TID4118,Ojas Lighting Private Limited,Cable tie pack,3,NETBANKING,"13,431.00","1,024.40",Counter bill Cable tie pack
POS-302900,10/03/2026,PNQ-01,TID4434,Kesari Handlooms Pvt Ltd,Fastener assortment,2,CARD,"40,844.42","3,115.25",Counter bill Fastener assortment
POS-303478,10/03/2026,PNQ-01,TID4827,Marudhar Furnishings LLP,Tarpaulin sheet,2,UPI,"30,989.58","2,363.61",Counter bill Tarpaulin sheet
POS-303713,10/03/2026,HYD-01,TID4349,Ekansh Glassworks Private Limited,Sports kit,2,CARD,"27,648.00","2,108.75",Counter bill Sports kit
POS-303850,10/03/2026,PNQ-01,TID4301,Prithvi Seeds and Feeds Pvt Ltd,Grocery basket,4,UPI,"2,109.00",160.86,Counter bill Grocery basket
POS-304383,10/03/2026,HYD-01,TID4689,Chandravat Metals Private Limited,Torch and cells,4,NETBANKING,"23,723.00","1,809.38",Counter bill Torch and cells
POS-305781,10/03/2026,BLR-02,TID4400,Neelkanth Ceramics Pvt Ltd,Sponge pack,3,UPI,"28,001.75","2,135.73",Counter bill Sponge pack
POS-300256,11/03/2026,BLR-01,TID4620,Nirvaan Agro Mills Pvt Ltd,Cable tie pack,3,UPI,"10,645.93",811.98,Counter bill Cable tie pack
POS-300303,11/03/2026,PNQ-01,TID4044,Sitara Packaging Solutions Pvt Ltd,Bulb pack of six,1,WALLET,"44,414.00","3,387.51",Counter bill Bulb pack of six
POS-301099,11/03/2026,BLR-01,TID4699,Tanmay Toolroom Private Limited,Mop and bucket,2,NETBANKING,"17,495.00","1,334.36",Counter bill Mop and bucket
POS-301157,11/03/2026,PNQ-01,TID4300,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,CARD,"33,604.86","2,563.08",Counter bill Stationery pack
POS-301435,11/03/2026,MYS-01,TID4338,Girnar Pipes and Fittings Pvt Ltd,Ladder step 4ft,1,CARD,"14,972.00","1,141.93",Counter bill Ladder step 4ft
POS-301518,11/03/2026,MYS-01,TID4712,Madhuban Nurseries Pvt Ltd,Battery pack AA,3,NETBANKING,"4,987.29",380.39,Counter bill Battery pack AA
POS-301575,11/03/2026,MYS-01,TID4164,Shubhankar Electricals LLP,Cleaning supplies,3,CARD,"32,652.83","2,490.47",Counter bill Cleaning supplies
POS-301885,11/03/2026,BLR-01,TID4552,Marudhar Furnishings LLP,Sports kit,2,UPI,"35,365.50","2,697.37",Counter bill Sports kit
POS-302163,11/03/2026,PNQ-01,TID4517,Rukmini Provisions Private Limited,Plumbing fittings,4,NETBANKING,"22,519.00","1,717.55",Counter bill Plumbing fittings
POS-302323,11/03/2026,PNQ-01,TID4464,Ambar Cold Rooms Pvt Ltd,Electrical wire roll,1,WALLET,"15,854.00","1,209.20",Counter bill Electrical wire roll
POS-302529,11/03/2026,PNQ-01,TID4539,Suvarna Weaves LLP,Tarpaulin sheet,2,WALLET,"47,874.00","3,651.41",Counter bill Tarpaulin sheet
POS-303283,11/03/2026,BLR-01,TID4116,Sanchit Hardware Depot Pvt Ltd,Paint tin 4L,3,NETBANKING,"13,415.35","1,023.20",Counter bill Paint tin 4L
POS-303923,11/03/2026,MYS-01,TID4621,Chirag Battery House Pvt Ltd,Sponge pack,3,NETBANKING,"35,847.50","2,734.13",Counter bill Sponge pack
POS-304147,11/03/2026,MYS-01,TID4797,Jashan Sports Goods Pvt Ltd,Adhesive carton,1,WALLET,"11,882.30",906.28,Counter bill Adhesive carton
POS-304449,11/03/2026,BLR-02,TID4505,Sohrab Auto Spares LLP,Torch and cells,4,CARD,"3,536.75",269.75,Counter bill Torch and cells
POS-305084,11/03/2026,MYS-01,TID4068,Vaayu Organics Private Limited,Extension board,4,UPI,"6,777.37",516.92,Counter bill Extension board
POS-305220,11/03/2026,BLR-01,TID4082,Anokhi Kitchenware Pvt Ltd,Bedding roll,1,CARD,"13,180.03","1,005.26",Counter bill Bedding roll
POS-305468,11/03/2026,BLR-01,TID4416,Vindhya Plastics Private Limited,Fastener assortment,2,NETBANKING,"2,915.00",222.33,Counter bill Fastener assortment
POS-305697,11/03/2026,BLR-01,TID4625,Devgiri Paints LLP,Hardware fittings,2,NETBANKING,"35,875.96","2,736.30",Counter bill Hardware fittings
POS-305813,11/03/2026,MYS-01,TID4031,Chandravat Metals Private Limited,Grocery basket,4,WALLET,"6,522.57",497.48,Counter bill Grocery basket
POS-305925,11/03/2026,BLR-01,TID4660,Bhavani Steel Trading Pvt Ltd,Crockery half set,4,CARD,"36,120.00","2,754.92",Counter bill Crockery half set
POS-300486,12/03/2026,BLR-02,TID4549,Neelkanth Ceramics Pvt Ltd,Cleaning supplies,3,WALLET,"35,346.00","2,695.88",Counter bill Cleaning supplies
POS-300668,12/03/2026,MYS-01,TID4126,Ojas Lighting Private Limited,Battery pack AA,3,WALLET,"32,382.00","2,469.81",Counter bill Battery pack AA
POS-301289,12/03/2026,PNQ-01,TID4565,Ekansh Glassworks Private Limited,Tarpaulin sheet,2,NETBANKING,"29,159.00","2,223.99",Counter bill Tarpaulin sheet
POS-301716,12/03/2026,BLR-02,TID4300,Kalanjali Crafts Pvt Ltd,Measuring tape 5m,3,WALLET,"14,706.22","1,121.66",Counter bill Measuring tape 5m
POS-301974,12/03/2026,BLR-02,TID4662,Vaayu Organics Private Limited,Plumbing fittings,4,CARD,"29,836.00","2,275.63",Counter bill Plumbing fittings
POS-302451,12/03/2026,BLR-02,TID4430,Naaz Fabrics Private Limited,Mop and bucket,2,CARD,"34,516.04","2,632.58",Counter bill Mop and bucket
POS-302611,12/03/2026,BLR-01,TID4267,Utsav Bakers LLP,Extension board,4,WALLET,"14,470.41","1,103.68",Counter bill Extension board
POS-302906,12/03/2026,PNQ-01,TID4112,Girnar Pipes and Fittings Pvt Ltd,Bedding roll,1,UPI,"19,689.00","1,501.70",Counter bill Bedding roll
POS-303445,12/03/2026,BLR-02,TID4295,Kaveri Rubber Works Pvt Ltd,Adhesive carton,1,WALLET,"33,566.00","2,560.12",Counter bill Adhesive carton
POS-303711,12/03/2026,MYS-01,TID4843,Palashwood Interiors Pvt Ltd,Stationery pack,1,WALLET,"18,502.00","1,411.17",Counter bill Stationery pack
POS-304268,12/03/2026,BLR-01,TID4764,Kesari Handlooms Pvt Ltd,Hardware fittings,2,WALLET,"17,950.00","1,369.07",Counter bill Hardware fittings
POS-304568,12/03/2026,BLR-01,TID4868,Barkat Stationers Private Limited,Crockery half set,4,CARD,"43,880.77","3,346.84",Counter bill Crockery half set
POS-304639,12/03/2026,BLR-01,TID4460,Meghdoot Packaging LLP,Paint tin 4L,3,CARD,"41,020.00","3,128.64",Counter bill Paint tin 4L
POS-305528,12/03/2026,BLR-01,TID4742,Bhoomi Tiles and Sanitary LLP,Storage crate,4,CARD,"30,400.74","2,318.70",Counter bill Storage crate
POS-305529,12/03/2026,PNQ-01,TID4858,Ranjeet Timber Depot Pvt Ltd,Bulb pack of six,1,UPI,"24,909.00","1,899.84",Counter bill Bulb pack of six
POS-305643,12/03/2026,BLR-02,TID4693,Madhuban Nurseries Pvt Ltd,Cable tie pack,3,CARD,"23,756.00","1,811.90",Counter bill Cable tie pack
POS-305675,12/03/2026,BLR-01,TID4353,Tarangini Prints LLP,Garden tool set,2,NETBANKING,"33,975.88","2,591.38",Counter bill Garden tool set
POS-305789,12/03/2026,MYS-01,TID4458,Prithvi Seeds and Feeds Pvt Ltd,Torch and cells,4,NETBANKING,"41,007.00","3,127.65",Counter bill Torch and cells
POS-305839,12/03/2026,HYD-01,TID4476,Yamini Home Needs Pvt Ltd,Ladder step 4ft,1,WALLET,"3,338.59",254.64,Counter bill Ladder step 4ft
POS-300240,13/03/2026,BLR-02,TID4058,Ambar Cold Rooms Pvt Ltd,Bulb pack of six,1,WALLET,"38,206.00","2,914.02",Counter bill Bulb pack of six
POS-300531,13/03/2026,MYS-01,TID4787,Chandravat Metals Private Limited,Torch and cells,4,CARD,"43,312.00","3,303.46",Counter bill Torch and cells
POS-300658,13/03/2026,BLR-01,TID4490,Vindhya Plastics Private Limited,Hardware fittings,2,WALLET,"16,030.00","1,222.63",Counter bill Hardware fittings
POS-300782,13/03/2026,PNQ-01,TID4130,Devgiri Paints LLP,Fastener assortment,2,WALLET,"26,114.00","1,991.75",Counter bill Fastener assortment
POS-301125,13/03/2026,BLR-01,TID4210,Chirag Battery House Pvt Ltd,Cleaning supplies,3,WALLET,"20,370.00","1,553.64",Counter bill Cleaning supplies
POS-301136,13/03/2026,MYS-01,TID4457,Nirvaan Agro Mills Pvt Ltd,Battery pack AA,3,WALLET,"15,802.00","1,205.24",Counter bill Battery pack AA
POS-302060,13/03/2026,BLR-02,TID4813,Jashan Sports Goods Pvt Ltd,Stationery pack,1,CARD,"18,296.46","1,395.49",Counter bill Stationery pack
POS-302184,13/03/2026,PNQ-01,TID4327,Bhoomi Tiles and Sanitary LLP,Crockery half set,4,UPI,"46,389.00","3,538.14",Counter bill Crockery half set
POS-302261,13/03/2026,HYD-01,TID4720,Bhavani Steel Trading Pvt Ltd,Storage crate,4,NETBANKING,"30,243.62","2,306.72",Counter bill Storage crate
POS-302653,13/03/2026,BLR-02,TID4197,Palashwood Interiors Pvt Ltd,Adhesive carton,1,UPI,"32,881.00","2,507.87",Counter bill Adhesive carton
POS-303525,13/03/2026,HYD-01,TID4711,Rukmini Provisions Private Limited,Extension board,4,WALLET,"42,778.00","3,262.73",Counter bill Extension board
POS-303740,13/03/2026,BLR-02,TID4162,Tanmay Toolroom Private Limited,Garden tool set,2,CARD,"26,336.47","2,008.71",Counter bill Garden tool set
POS-303746,13/03/2026,HYD-01,TID4696,Sanchit Hardware Depot Pvt Ltd,Measuring tape 5m,3,WALLET,"23,778.60","1,813.62",Counter bill Measuring tape 5m
POS-304094,13/03/2026,BLR-01,TID4576,Sohrab Auto Spares LLP,Grocery basket,4,NETBANKING,"35,535.00","2,710.30",Counter bill Grocery basket
POS-304186,13/03/2026,PNQ-01,TID4792,Shubhankar Electricals LLP,Sponge pack,3,UPI,"5,549.00",423.23,Counter bill Sponge pack
POS-304866,13/03/2026,BLR-01,TID4418,Sitara Packaging Solutions Pvt Ltd,Electrical wire roll,1,WALLET,"21,830.94","1,665.07",Counter bill Electrical wire roll
POS-304948,13/03/2026,HYD-01,TID4643,Kalanjali Crafts Pvt Ltd,Paint tin 4L,3,NETBANKING,"36,003.00","2,745.99",Counter bill Paint tin 4L
POS-305103,13/03/2026,BLR-01,TID4042,Suvarna Weaves LLP,Sports kit,2,NETBANKING,"38,095.29","2,905.57",Counter bill Sports kit
POS-305189,13/03/2026,BLR-01,TID4578,Marudhar Furnishings LLP,Tarpaulin sheet,2,WALLET,"16,650.00","1,269.92",Counter bill Tarpaulin sheet
POS-305260,13/03/2026,MYS-01,TID4768,Anokhi Kitchenware Pvt Ltd,Ladder step 4ft,1,WALLET,"36,882.76","2,813.09",Counter bill Ladder step 4ft
POS-300144,14/03/2026,MYS-01,TID4690,Sohrab Auto Spares LLP,Torch and cells,4,CARD,"17,432.00","1,329.56",Counter bill Torch and cells
POS-300254,14/03/2026,BLR-01,TID4774,Barkat Stationers Private Limited,Storage crate,4,CARD,"11,720.00",893.90,Counter bill Storage crate
POS-300268,14/03/2026,MYS-01,TID4546,Ekansh Glassworks Private Limited,Sports kit,2,WALLET,"41,622.28","3,174.58",Counter bill Sports kit
POS-300707,14/03/2026,BLR-01,TID4532,Utsav Bakers LLP,Plumbing fittings,4,WALLET,"41,530.66","3,167.59",Counter bill Plumbing fittings
POS-300866,14/03/2026,MYS-01,TID4626,Naaz Fabrics Private Limited,Garden tool set,2,WALLET,"10,682.20",814.74,Counter bill Garden tool set
POS-300877,14/03/2026,MYS-01,TID4387,Madhuban Nurseries Pvt Ltd,Battery pack AA,3,CARD,"34,212.00","2,609.39",Counter bill Battery pack AA
POS-301399,14/03/2026,MYS-01,TID4528,Prithvi Seeds and Feeds Pvt Ltd,Grocery basket,4,UPI,"35,197.93","2,684.59",Counter bill Grocery basket
POS-301753,14/03/2026,BLR-02,TID4895,Ranjeet Timber Depot Pvt Ltd,Electrical wire roll,1,NETBANKING,"37,771.00","2,880.84",Counter bill Electrical wire roll
POS-301971,14/03/2026,PNQ-01,TID4266,Meghdoot Packaging LLP,Measuring tape 5m,3,CARD,"14,464.10","1,103.19",Counter bill Measuring tape 5m
POS-302187,14/03/2026,PNQ-01,TID4079,Vaayu Organics Private Limited,Extension board,4,NETBANKING,559.00,42.64,Counter bill Extension board
POS-302780,14/03/2026,BLR-01,TID4747,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,WALLET,"11,530.49",879.44,Counter bill Stationery pack
POS-303159,14/03/2026,MYS-01,TID4703,Kesari Handlooms Pvt Ltd,Fastener assortment,2,NETBANKING,"11,227.85",856.36,Counter bill Fastener assortment
POS-303515,14/03/2026,HYD-01,TID4217,Tarangini Prints LLP,Mop and bucket,2,NETBANKING,"14,123.00","1,077.18",Counter bill Mop and bucket
POS-303826,14/03/2026,BLR-02,TID4218,Neelkanth Ceramics Pvt Ltd,Sponge pack,3,NETBANKING,"39,331.00","2,999.82",Counter bill Sponge pack
POS-304052,14/03/2026,PNQ-01,TID4800,Shubhankar Electricals LLP,Cleaning supplies,3,CARD,"18,204.00","1,388.44",Counter bill Cleaning supplies
POS-304539,14/03/2026,BLR-01,TID4167,Ojas Lighting Private Limited,Cable tie pack,3,NETBANKING,"26,375.00","2,011.65",Counter bill Cable tie pack
POS-304577,14/03/2026,PNQ-01,TID4577,Girnar Pipes and Fittings Pvt Ltd,Ladder step 4ft,1,CARD,"41,844.00","3,191.49",Counter bill Ladder step 4ft
POS-304740,14/03/2026,HYD-01,TID4513,Devgiri Paints LLP,Hardware fittings,2,UPI,"41,393.00","3,157.09",Counter bill Hardware fittings
POS-305504,14/03/2026,BLR-01,TID4016,Yamini Home Needs Pvt Ltd,Bedding roll,1,NETBANKING,"19,015.62","1,450.34",Counter bill Bedding roll
POS-300628,15/03/2026,BLR-01,TID4125,Suvarna Weaves LLP,Tarpaulin sheet,2,CARD,880.68,67.17,Counter bill Tarpaulin sheet
POS-300649,15/03/2026,BLR-01,TID4052,Chandravat Metals Private Limited,Grocery basket,4,WALLET,"31,870.00","2,430.76",Counter bill Grocery basket
POS-300796,15/03/2026,PNQ-01,TID4085,Bhavani Steel Trading Pvt Ltd,Crockery half set,4,NETBANKING,599.00,45.69,Counter bill Crockery half set
POS-301008,15/03/2026,BLR-02,TID4380,Palashwood Interiors Pvt Ltd,Stationery pack,1,WALLET,"15,266.00","1,164.36",Counter bill Stationery pack
POS-301428,15/03/2026,MYS-01,TID4573,Tanmay Toolroom Private Limited,Mop and bucket,2,CARD,"4,012.00",306.00,Counter bill Mop and bucket
POS-301703,15/03/2026,HYD-01,TID4561,Marudhar Furnishings LLP,Sports kit,2,CARD,"16,528.83","1,260.67",Counter bill Sports kit
POS-302914,15/03/2026,PNQ-01,TID4451,Ambar Cold Rooms Pvt Ltd,Electrical wire roll,1,NETBANKING,"40,959.71","3,124.05",Counter bill Electrical wire roll
POS-303061,15/03/2026,MYS-01,TID4898,Sanchit Hardware Depot Pvt Ltd,Paint tin 4L,3,NETBANKING,"31,487.00","2,401.55",Counter bill Paint tin 4L
POS-303262,15/03/2026,PNQ-01,TID4289,Ojas Lighting Private Limited,Battery pack AA,3,CARD,"20,924.22","1,595.92",Counter bill Battery pack AA
POS-303433,15/03/2026,HYD-01,TID4301,Vindhya Plastics Private Limited,Fastener assortment,2,CARD,"27,308.14","2,082.82",Counter bill Fastener assortment
POS-303650,15/03/2026,BLR-02,TID4872,Chirag Battery House Pvt Ltd,Sponge pack,3,WALLET,"18,706.00","1,426.73",Counter bill Sponge pack
POS-303984,15/03/2026,MYS-01,TID4388,Tarangini Prints LLP,Garden tool set,2,WALLET,"34,222.23","2,610.17",Counter bill Garden tool set
POS-303990,15/03/2026,HYD-01,TID4886,Sitara Packaging Solutions Pvt Ltd,Bulb pack of six,1,CARD,"12,508.00",954.00,Counter bill Bulb pack of six
POS-304134,15/03/2026,MYS-01,TID4738,Anokhi Kitchenware Pvt Ltd,Bedding roll,1,NETBANKING,"30,367.16","2,316.14",Counter bill Bedding roll
POS-304219,15/03/2026,BLR-02,TID4651,Kalanjali Crafts Pvt Ltd,Measuring tape 5m,3,UPI,"10,861.48",828.42,Counter bill Measuring tape 5m
POS-305004,15/03/2026,MYS-01,TID4556,Bhoomi Tiles and Sanitary LLP,Storage crate,4,UPI,"47,997.00","3,660.79",Counter bill Storage crate
POS-305811,15/03/2026,MYS-01,TID4483,Jashan Sports Goods Pvt Ltd,Adhesive carton,1,NETBANKING,"28,587.00","2,180.36",Counter bill Adhesive carton
POS-305830,15/03/2026,HYD-01,TID4096,Nirvaan Agro Mills Pvt Ltd,Cable tie pack,3,UPI,"32,173.00","2,453.87",Counter bill Cable tie pack
POS-305944,15/03/2026,HYD-01,TID4535,Rukmini Provisions Private Limited,Plumbing fittings,4,CARD,"3,748.00",285.86,Counter bill Plumbing fittings
POS-300405,16/03/2026,PNQ-01,TID4751,Suvarna Weaves LLP,Sports kit,2,NETBANKING,"17,859.00","1,362.13",Counter bill Sports kit
POS-300517,16/03/2026,BLR-02,TID4685,Shubhankar Electricals LLP,Sponge pack,3,CARD,"23,696.00","1,807.32",Counter bill Sponge pack
POS-300674,16/03/2026,PNQ-01,TID4666,Kesari Handlooms Pvt Ltd,Hardware fittings,2,CARD,"42,464.00","3,238.78",Counter bill Hardware fittings
POS-300751,16/03/2026,HYD-01,TID4464,Devgiri Paints LLP,Fastener assortment,2,CARD,"15,848.21","1,208.76",Counter bill Fastener assortment
POS-301384,16/03/2026,BLR-02,TID4303,Madhuban Nurseries Pvt Ltd,Cable tie pack,3,WALLET,"2,126.98",162.23,Counter bill Cable tie pack
POS-301473,16/03/2026,BLR-02,TID4360,Prithvi Seeds and Feeds Pvt Ltd,Torch and cells,4,UPI,"8,821.00",672.79,Counter bill Torch and cells
POS-301702,16/03/2026,PNQ-01,TID4641,Sitara Packaging Solutions Pvt Ltd,Electrical wire roll,1,UPI,"10,789.20",822.91,Counter bill Electrical wire roll
POS-301767,16/03/2026,BLR-01,TID4365,Ranjeet Timber Depot Pvt Ltd,Bulb pack of six,1,CARD,"34,060.08","2,597.80",Counter bill Bulb pack of six
POS-302262,16/03/2026,PNQ-01,TID4079,Yamini Home Needs Pvt Ltd,Ladder step 4ft,1,WALLET,"13,154.00","1,003.27",Counter bill Ladder step 4ft
POS-302424,16/03/2026,BLR-02,TID4893,Girnar Pipes and Fittings Pvt Ltd,Bedding roll,1,NETBANKING,"6,251.00",476.77,Counter bill Bedding roll
POS-303014,16/03/2026,BLR-01,TID4227,Naaz Fabrics Private Limited,Mop and bucket,2,NETBANKING,"1,595.00",121.65,Counter bill Mop and bucket
POS-303056,16/03/2026,PNQ-01,TID4695,Ekansh Glassworks Private Limited,Tarpaulin sheet,2,UPI,"4,869.11",371.37,Counter bill Tarpaulin sheet
POS-303456,16/03/2026,PNQ-01,TID4510,Kaveri Rubber Works Pvt Ltd,Adhesive carton,1,WALLET,"22,474.00","1,714.12",Counter bill Adhesive carton
POS-303991,16/03/2026,PNQ-01,TID4062,Neelkanth Ceramics Pvt Ltd,Cleaning supplies,3,NETBANKING,"13,039.00",994.50,Counter bill Cleaning supplies
POS-304710,16/03/2026,BLR-02,TID4825,Sanchit Hardware Depot Pvt Ltd,Measuring tape 5m,3,UPI,"12,081.00",921.43,Counter bill Measuring tape 5m
POS-304756,16/03/2026,HYD-01,TID4704,Sohrab Auto Spares LLP,Grocery basket,4,UPI,"11,233.62",856.80,Counter bill Grocery basket
POS-305111,16/03/2026,BLR-01,TID4178,Meghdoot Packaging LLP,Paint tin 4L,3,WALLET,"39,050.21","2,978.41",Counter bill Paint tin 4L
POS-305463,16/03/2026,HYD-01,TID4214,Utsav Bakers LLP,Extension board,4,NETBANKING,"45,603.27","3,478.22",Counter bill Extension board
POS-305484,16/03/2026,BLR-02,TID4575,Barkat Stationers Private Limited,Crockery half set,4,WALLET,"41,826.00","3,190.12",Counter bill Crockery half set
POS-305872,16/03/2026,BLR-02,TID4470,Vaayu Organics Private Limited,Plumbing fittings,4,NETBANKING,"22,191.92","1,692.60",Counter bill Plumbing fittings
POS-300550,17/03/2026,PNQ-01,TID4014,Utsav Bakers LLP,Plumbing fittings,4,NETBANKING,"31,599.00","2,410.09",Counter bill Plumbing fittings
POS-301331,17/03/2026,BLR-02,TID4846,Kesari Handlooms Pvt Ltd,Fastener assortment,2,WALLET,"5,926.00",451.98,Counter bill Fastener assortment
POS-301477,17/03/2026,BLR-02,TID4848,Chandravat Metals Private Limited,Torch and cells,4,UPI,"24,841.00","1,894.65",Counter bill Torch and cells
POS-301538,17/03/2026,PNQ-01,TID4691,Kalanjali Crafts Pvt Ltd,Paint tin 4L,3,NETBANKING,"23,739.00","1,810.60",Counter bill Paint tin 4L
POS-301775,17/03/2026,MYS-01,TID4149,Marudhar Furnishings LLP,Tarpaulin sheet,2,NETBANKING,"32,547.00","2,482.40",Counter bill Tarpaulin sheet
POS-301803,17/03/2026,PNQ-01,TID4876,Vindhya Plastics Private Limited,Hardware fittings,2,WALLET,"6,134.90",467.92,Counter bill Hardware fittings
POS-301836,17/03/2026,BLR-01,TID4087,Jashan Sports Goods Pvt Ltd,Stationery pack,1,NETBANKING,"44,715.49","3,410.50",Counter bill Stationery pack
POS-301994,17/03/2026,BLR-02,TID4119,Bhoomi Tiles and Sanitary LLP,Crockery half set,4,CARD,"19,736.88","1,505.36",Counter bill Crockery half set
POS-302640,17/03/2026,BLR-01,TID4811,Chirag Battery House Pvt Ltd,Battery pack AA,1,CARD,"5,680.00",433.22,Counter bill battery pack lot
POS-303174,17/03/2026,PNQ-01,TID4609,Rukmini Provisions Private Limited,Extension board,4,UPI,"35,769.45","2,728.18",Counter bill Extension board
POS-303583,17/03/2026,MYS-01,TID4791,Ambar Cold Rooms Pvt Ltd,Bulb pack of six,1,UPI,"18,137.00","1,383.33",Counter bill Bulb pack of six
POS-303590,17/03/2026,PNQ-01,TID4557,Anokhi Kitchenware Pvt Ltd,Ladder step 4ft,1,NETBANKING,"41,699.00","3,180.43",Counter bill Ladder step 4ft
POS-303607,17/03/2026,BLR-02,TID4345,Tarangini Prints LLP,Mop and bucket,2,UPI,"40,221.43","3,067.74",Counter bill Mop and bucket
POS-303651,17/03/2026,BLR-01,TID4835,Chirag Battery House Pvt Ltd,Cleaning supplies,3,WALLET,"37,350.00","2,848.73",Counter bill Cleaning supplies
POS-304001,17/03/2026,BLR-01,TID4257,Yamini Home Needs Pvt Ltd,Bedding roll,1,UPI,"33,305.85","2,540.28",Counter bill Bedding roll
POS-304653,17/03/2026,HYD-01,TID4321,Ojas Lighting Private Limited,Cable tie pack,3,UPI,"46,353.00","3,535.40",Counter bill Cable tie pack
POS-305033,17/03/2026,PNQ-01,TID4565,Bhavani Steel Trading Pvt Ltd,Storage crate,4,NETBANKING,"3,959.13",301.97,Counter bill Storage crate
POS-305276,17/03/2026,MYS-01,TID4361,Tanmay Toolroom Private Limited,Garden tool set,2,CARD,"46,632.00","3,556.68",Counter bill Garden tool set
POS-305785,17/03/2026,MYS-01,TID4738,Nirvaan Agro Mills Pvt Ltd,Battery pack AA,3,CARD,"17,772.00","1,355.49",Counter bill Battery pack AA
POS-300247,18/03/2026,PNQ-01,TID4127,Sitara Packaging Solutions Pvt Ltd,Bulb pack of six,1,WALLET,"26,094.00","1,990.22",Counter bill Bulb pack of six
POS-300808,18/03/2026,BLR-01,TID4098,Shubhankar Electricals LLP,Cleaning supplies,3,WALLET,"44,790.04","3,416.19",Counter bill Cleaning supplies
POS-301479,18/03/2026,HYD-01,TID4806,Devgiri Paints LLP,Hardware fittings,2,NETBANKING,"43,443.54","3,313.49",Counter bill Hardware fittings
POS-301507,18/03/2026,BLR-01,TID4355,Jashan Sports Goods Pvt Ltd,Adhesive carton,1,WALLET,"2,490.00",189.92,Counter bill Adhesive carton
POS-301529,18/03/2026,MYS-01,TID4846,Tanmay Toolroom Private Limited,Mop and bucket,2,NETBANKING,"31,127.00","2,374.09",Counter bill Mop and bucket
POS-301891,18/03/2026,MYS-01,TID4289,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,NETBANKING,"39,827.38","3,037.68",Counter bill Stationery pack
POS-302374,18/03/2026,BLR-02,TID4036,Madhuban Nurseries Pvt Ltd,Battery pack AA,3,CARD,"25,456.95","1,941.63",Counter bill Battery pack AA
